Linha;CodLinhaConsFànix;NomeLinha;TipoTransporte;In°cioOperaá∆o;FimOperaá∆o
100;100;Madrugad∆o Centro - UFSC;Regular;00:00:00;
101;101;Circular Centro;Regular;00:00:00;
102;102;Centro via Esteves J£nior;Regular;00:00:00;
103;103;Centro via Tenente Silveira;Regular;00:00:00;
104;104;TICEN - Itacorubi via Mauro Ramos;Regular;00:00:00;
109;109;Futebol/Cl†ssicos;Regular;00:00:00;
110;110;TICEN - TITRI  Direto;Regular;00:00:00;
1110;1110;Executivo Circular Centro;Executivo;00:00:00;00:00:00
1111;1111;Executivo Trindade;Executivo;00:00:00;00:00:00
1112;1112;Executivo Santa Mìnica;Executivo;00:00:00;
1113;1113;Executivo Parque S∆o Jorge;Executivo;00:00:00;
1114;1114;Executivo C¢rrego Grande M.R.;Executivo;00:00:00;
1115;1115;Executivo C¢rrego Grande G.d.;Executivo;00:00:00;
1116;1116;Executivo Copa Davis;Executivo;00:00:00;00:00:00
1117;1117;Executivo Jo∆o Paulo;Executivo;00:00:00;
1118;1118;Executivo C¢rrego Grande via Poá∆o;Executivo;00:00:00;
1120;1120;Executivo Canasvieiras;Executivo;00:00:00;
1121;1121;Executivo Ingleses;Executivo;00:00:00;
1122;1122;Executivo Praia Brava;Executivo;00:00:00;
1123;1123;Executivo Jurerà;Executivo;00:00:00;
1124;1124;Executivo Praia Brava;Executivo;;
1125;1125;Executivo Rio Vermelho Sitio de Cima;Executivo;00:00:00;
1126;1126;Executivo Cachoeira do Bom Jesus;Executivo;00:00:00;
1127;1127;Executivo Gaivotas;Executivo;00:00:00;
1128;1128;Executivo Costa do Moáambique;Executivo;00:00:00;
1129;1129;Executivo MuquÇm;Executivo;00:00:00;
120;120;Gama D`Eáa - Semi-Direto;Regular;00:00:00;
121;121;Mauro Ramos - Semi-Direto;Regular;00:00:00;
131;131;TITRI - TICEN via Gama d`Eáa;Regular;00:00:00;
132;132;TITRI - TICEN via Gama d`Eáa/H.I.;Regular;00:00:00;
133;133;TITRI - TICEN via Mauro Ramos;Regular;00:00:00;
134;134;TITRI - TICEN via Beira Mar;Regular;00:00:00;
135;135;Volta ao Morro Carvoeira Norte;Regular;00:00:00;
136;136;Volta ao Morro Carvoeira Sul;Regular;00:00:00;
137;137;Volta ao Morro Pantanal Norte;Regular;00:00:00;
138;138;Volta ao Morro Pantanal Sul;Regular;00:00:00;
150;150;TICEN - Itacorubi via Beira Mar;Regular;00:00:00;
151;151;Centro Administrativo via Beira Mar;Regular;00:00:00;
151V;V-151;Centro Administrativo via Mauro Ramos;Regular;00:00:00;
152;152;Praáa Pereira Oliveira Direto;Regular;00:00:00;00:00:00
153;153;Costeira do PirajubaÇ;Regular;00:00:00;
154;154;UFSC/ Semi-direta/Sul;Regular;00:00:00;
155;155;Sol Nascente;Regular;00:00:00;
156;156;Centro Administrativo Via mauro Ramos;Regular;00:00:00;
160;160;Morro da Cruz;Regular;00:00:00;
161;161;Morro da Penitenci†ria;Regular;00:00:00;
162;162;Saco dos Lim‰es;Regular;00:00:00;
163;163;C¢rrego Grande;Regular;00:00:00;
164;164;C¢rrego Grande/ Poá∆o;Regular;00:00:00;
165;165;Itacorubi;Regular;00:00:00;
166;166;Jardim Anchieta;Regular;00:00:00;
167;167;Jo∆o Paulo;Regular;00:00:00;
168;168;Monte Verde;Regular;00:00:00;
169;169;Monte Verde via ManÇ Vicente;Regular;00:00:00;
170;170;Caminho da Cruz via Jo∆o Paulo;Regular;00:00:00;
171;171;Parque S∆o Jorge via Madre Benvenuta;Regular;00:00:00;00:00:00
172;172;Parque S∆o Jorge via Admar Gonzaga;Regular;00:00:00;
172V;V-172;Parque S∆o Jorge via A. G. Via Madre Benvenuta;Regular;00:00:00;
173;173;Morro do Quilombo;Regular;00:00:00;
173V;V-173;Morro do Quilombo Via  SC 404  Volta/ida;Regular;00:00:00;
174;174;Saco Grande via Jo∆o Paulo;Regular;00:00:00;
174V;V-174;Saco Grande via Jo∆o Paulo Via Barreira Janga;Regular;00:00:00;
175;175;SC 401 retorno Saco Grande;Regular;00:00:00;
176;176;Saco Grande via HU;Regular;00:00:00;
177;177;Santa Mìnica;Regular;00:00:00;
178;178;Saco Grande - Retorno SC 401;Regular;00:00:00;
179;179;Serrinha;Regular;00:00:00;
180;180;TITRI/ UFSC;Regular;00:00:00;
181;181;CacupÇ - Jo∆o Paulo via Barreira do Janga;Regular;00:00:00;
181V;V-181;CacupÇ/Jo∆o Paulo Via Barreira Janga;Regular;00:00:00;
182;182;Tecn¢polis;Regular;00:00:00;
183;183;Corredor Sudoeste/ Via TISAC;Regular;00:00:00;
184;184;UDESC via Beira Mar;Regular;00:00:00;
184V;V-184;UDESC via Beira Mar via TITRI;Regular;00:00:00;
185;185;UFSC Semidireto;Regular;00:00:00;
186;186;Corredor Sudoeste-Semi Direto;Regular;00:00:00;
187;187;C¢rregoGrande via Beira Mar;Regular;00:00:00;
188;188;Ticen/UFSC;Regular;00:00:00;
189;189;Tisac/UFSC;Regular;00:00:00;
191;191;TITRI - TICEN via Transcaeira;Regular;00:00:00;
200;200;Madrugad∆o Norte;Regular;00:00:00;
201;201;Madruagad∆o Brava via Jurerà;Regular;00:00:00;00:00:00
210;210;TICAN/TICEN - Direto;Regular;00:00:00;
211;211;Canasvieiras/Trindade - Direto;Regular;00:00:00;
212;212;TISAN/TICEN - Direto;Regular;00:00:00;
2120;2120;Executivo Barra da Lagoa;Executivo;00:00:00;
2121;2121;Executivo Joaquina;Executivo;00:00:00;
2123;2123;Executivo Lagoa Conceiá∆o;Executivo;00:00:00;
2124;2124;Executivo Sambaqui;Executivo;00:00:00;
220;220;Canasvieiras via Agronìmica;Regular;00:00:00;
221;221;TICAN - TICEN via Mauro Ramos;Regular;00:00:00;
222;222;Santo Antìnio;Regular;00:00:00;
223;223;Canasvieiras via  Unisul;Regular;00:00:00;
230;230;Canasvieiras via Gama DÔEáa;Regular;00:00:00;
231;231;TICAN - TICEN via TITRI;Regular;00:00:00;
232;232;Sto Antonio V Mauro Ramos;Regular;00:00:00;
233;233;TICAN - TITRI via UFSC;Regular;00:00:00;
234;234;Canasvieiras/Trindade;Regular;00:00:00;
235;235;TICAN - TITRI via TISAN;Regular;00:00:00;
250;250;Forte Canasvieiras;Regular;00:00:00;
250V;250V;Forte/Canasvieiras;Regular;00:00:00;
260;260;Cachoeira do Bom Jesus;Regular;00:00:00;
261;261;Capivari;Regular;00:00:00;
262;262;Circular Canasvieiras;Regular;00:00:00;
263;263;Gaivotas;Regular;00:00:00;
264;264;Ingleses;Regular;00:00:00;
265;265;Ponta das Canas;Regular;00:00:00;
266;266;Praia Brava;Regular;00:00:00;
267;267;Rio Vermelho;Regular;00:00:00;
268;268;S°tio de Baixo;Regular;00:00:00;
269;269;Moáambique  via R. Alzira Rosa Aguiar;Regular;00:00:00;
270;270;Vargem Grande;Regular;00:00:00;
271;271;Daniela;Regular;00:00:00;
272;272;Jurerà;Regular;00:00:00;
273;273;Ratones;Regular;00:00:00;
274;274;Rio Vermelho via Muquem;Regular;00:00:00;
275;275;Capivari via Jo∆o Gualberto Soares;Regular;00:00:00;00:00:00
276;276;Balne†rio Canasvieiras;Regular;00:00:00;
277;277;Balne†rio Ingleses;Regular;00:00:00;
278;278;Circular Canasvieiras/Unisul;Regular;00:00:00;
279;279;Ponta das Canas  Escola;Regular;00:00:00;
280;280;TICAN - Cachoeira;Regular;00:00:00;
281;281;Costa do Moáambique;Regular;00:00:00;
282;282;Vargem Pequena;Regular;00:00:00;
283;283;Vargem do Bom Jesus;Regular;00:00:00;
284;284;Moáambique via Rua da Intendància;Regular;00:00:00;
285;285;Circular Moáambique;Regular;00:00:00;
286;286;TICAN Sapiens Parque;Regular;00:00:00;
290;290;Canasvieiras/Daniela;Regular;00:00:00;00:00:00
291;291;Circular Canasvieiras - Praia Brava;Regular;00:00:00;
292;292;Rio Vermelho/Ingleses;Regular;00:00:00;
293;293;Canasvieiras - Ingleses;Regular;00:00:00;
294;294;Interpraias;Regular;00:00:00;
295;295;Canasvieiras/ Brava;Regular;00:00:00;
296;296;Circular Santinho/Ingleses;Regular;00:00:00;
300;300;Madrugad∆o Leste;Regular;00:00:00;
3001;3001;Executivo Abra∆o / UFSC;Executivo;00:00:00;
3002;3002;Executivo Jardim AtlÉntico / UFSC;Executivo;00:00:00;
301;301;Madrugad∆o Sambaqui via Saco Grande;Regular;00:00:00;
310;310;Santo Antìnio - Direto;Regular;00:00:00;00:00:00
311;311;TILAG - TICEN Direto;Regular;00:00:00;
320;320;TILAG - TICEN via Beira Mar;Regular;00:00:00;
321;321;Santo Antìnio - Semi Direto;Regular;00:00:00;00:00:00
330;330;TILAG -TICEN via Mauro Ramos;Regular;00:00:00;
330V;V-330;TILAG -TICEN via Mauro Ramos Via TITRI;Regular;00:00:00;
331;331;TISAN -TICEN via Mauro Ramos;Regular;00:00:00;
332;332;TISAN - TICEN via Beira Mar;Regular;00:00:00;
333;333;TILAG - TITRI  via Madre Benvenuta;Regular;00:00:00;
360;360;Barra da Lagoa;Regular;00:00:00;
361;361;Canto da Lagoa;Regular;00:00:00;
362;362;Canto dos Araáas;Regular;00:00:00;
363;363;Joaquina;Regular;00:00:00;
364;364;Osni Ortiga;Regular;00:00:00;
365;365;Sambaqui;Regular;00:00:00;
365V;V-365;Sambaqui  Via Ponto Final da Barra;Regular;00:00:00;
366;366;Barra do Sambaqui via Padre Rohr;Regular;00:00:00;
366V;V-366;Barra do Sambaqui via Padre Rohr;Regular;00:00:00;
410;410;TIRIO/TICEN - Direto;Regular;00:00:00;
4120;4120;Executivo PÉntano do Sul via Eucal°ptos;Executivo;00:00:00;
4121;4121;Executivo P.do Sul Via Campeche;Executivo;00:00:00;
4122;4122;Executivo Campeche;Executivo;00:00:00;
4123;4123;Executivo Ribeir∆o da Ilha;Executivo;00:00:00;
4124;4124;Executivo Caieira da Barra do Sul via Tapera;Executivo;00:00:00;
4125;4125;Executivo PantÉno do Sul Via Gramal;Executivo;00:00:00;
4126;4126;Executivo Tapera;Executivo;00:00:00;
4127;4127;Executivo Praia dos Aáores via PÉntano do Sul;Executivo;00:00:00;
4128;4128;Executivo Campeche Praia;Executivo;00:00:00;
420;420;Rio Tavares - Semidireto;Regular;00:00:00;
430;430;TIRIO - TICEN via Costeira;Regular;00:00:00;
431;431;TICEN Aeroporto;Regular;00:00:00;
460;460;Porto da Lagoa;Regular;00:00:00;
461;461;Tapera Via T£nel;Regular;00:00:00;
462;462;Campeche;Regular;00:00:00;
463;463;Castanheiras via Eucaliptos;Regular;00:00:00;
463V;V-463;Castanheiras via Eucaliptos via Baia;Regular;00:00:00;
464;464;Castanheiras via Gramal;Regular;00:00:00;
464V;V-464;Castanheiras via Gramal via Baia;Regular;00:00:00;
465;465;Porto da Lagoa/Rio Tavares;Regular;00:00:00;
466;466;Trevo do Erasmo;Regular;00:00:00;
467;467;Tapera via Saco dos Lim‰es;Regular;00:00:00;
468;468;TIRIO Aeroporto;Regular;00:00:00;
469;469;Tapera Rio Tavares;Regular;00:00:00;
470;470;Tapera/Titri;Regular;00:00:00;
471;471;Titri/Tapera;Regular;00:00:00;00:00:00
472;472;Campeche via Capela;Regular;00:00:00;
473;473;Morro das Pedras via Eucaliptos;Regular;00:00:00;
474;474;Morro das Pedras via Gramal;Regular;00:00:00;
475;475;TIRIO - Ressacada;Regular;00:00:00;
477;477;Circular Tapera  Aeroporto - Carianos;Regular;00:00:00;
490;490;Interpraias Sul;Regular;00:00:00;
500;500;Madrugad∆o Sul;Regular;00:00:00;
500V;V-500;Madrugad∆o Sul Via Tapera;Regular;00:00:00;
501;501;Madrugad∆o Sul  Via Tapera;Regular;00:00:00;00:00:00
560;560;Armaá∆o;Regular;00:00:00;
561;561;Caieira da Barra do Sul;Regular;00:00:00;
562;562;Costa de Cima;Regular;00:00:00;
563;563;Costa de Dentro;Regular;00:00:00;
564;564;PÉntano do Sul;Regular;00:00:00;
565;565;Ribeir∆o da Ilha;Regular;00:00:00;
566;566;Caieira via Tapera;Regular;00:00:00;
600;600;Madrugad∆o Continente;Regular;00:00:00;
601;601;Circular Abra∆o Estreito;Regular;00:00:00;
601V;V-601;Circular Abra∆o Estreito Via Biblioteca P£blica;Regular;00:00:00;
602;602;Circular Continente;Regular;00:00:00;
603;603;Circular Estreito Abra∆o via Biblioteca P£blica;Regular;00:00:00;
604;604;Madrugad∆o Continente;Regular;00:00:00;
605;605;Circular Estreito Abra∆o;Regular;00:00:00;
605V;V-605;Circular Estreito Abra∆o;Regular;00:00:00;
606;606;Circular Continente;Regular;00:00:00;
607;607;Circular Abra∆o Estreito via Biblioteca P£blica;Regular;00:00:00;00:00:00
608;608;Circular Abra∆o;Regular;00:00:00;00:00:00
6120;6120;Executivo Aeroporto;Executivo;00:00:00;
6130;6130;Executivo Carvoeira Saco dos Lim‰es;Executivo;00:00:00;00:00:00
6131;6131;Executivo Pantanal Saco dos Lim‰es;Executivo;00:00:00;00:00:00
6220;6220;Executivo Abra∆o;Executivo;00:00:00;
6221;6221;Executivo Bom Abrigo;Executivo;00:00:00;
630;630;Corredor Continente;Regular;00:00:00;
631;631;Capoeiras;Regular;00:00:00;
632;632;Capoeiras via Ivo Silveira;Regular;00:00:00;
659;EV-659;Especial Fretamento;Regular;00:00:00;00:00:00
660;660;Aracy Vaz Callado;Regular;00:00:00;
661;661;Balne†rio;Regular;00:00:00;
662;662;Canto;Regular;00:00:00;
663;663;Coloninha;Regular;00:00:00;
664;664;Itaguaáu;Regular;00:00:00;
665;665;Abra∆o;Regular;00:00:00;
667;667;Promorar;Regular;00:00:00;
668;668;Promorar via Ivo Silveira;Regular;00:00:00;
669;669;Vila S∆o Jo∆o;Regular;00:00:00;
670;670;Monte Cristo;Regular;00:00:00;
670V;V-670;Monte Cristo Via Escola Edith Gama Ramos;Regular;00:00:00;
671;671;Vila  Promorar;Regular;00:00:00;
690;690;Projeto M∆o Amiga;Regular;00:00:00;
7220;7220;Executivo Jardim AtlÉntico;Executivo;00:00:00;
760;760;Morro do Geraldo;Regular;00:00:00;
761;761;Vila Aparecida;Regular;00:00:00;
762;762;∂ngelo Laporta;Regular;00:00:00;
763;763;Caeira do Saco dos Lim‰es;Regular;00:00:00;
764;764;Monte Serrat;Regular;00:00:00;
765;765;Morro da Queimada;Regular;00:00:00;
766;766;Morro do 25;Regular;00:00:00;
766V;V-766;Morro do 25 Via Gama DÇáa;Regular;00:00:00;
767;767;Morro do Hor†cio via Gama D`eáa;Regular;00:00:00;00:00:00
768;768;Morro do Hor†cio via Mauro Ramos;Regular;00:00:00;
768V;V-768;Morro do Hor†cio via Mauro Ramos Via Gama D`eáa;Regular;00:00:00;
769;769;Morro Nova Trento;Regular;00:00:00;
770;770;Morro 25 Gama D`eáa;Regular;00:00:00;00:00:00
771;771;Santa Vit¢ria;Regular;00:00:00;
772;772;Chico Mendes;Regular;00:00:00;
840;840;TICAN - TILAG via Cidade da Barra;Regular;00:00:00;
841;841;TILAG - TIRIO;Regular;00:00:00;
842;842;Canasvieiras/Lagoa;Regular;00:00:00;00:00:00
843;843;TILAG - TIRIO via LIC;Regular;00:00:00;
844;844;Bairro de F†tima;Regular;00:00:00;
845;845;TILAG - TITRI via C¢rrego Grande;Regular;00:00:00;
846;846;CacupÇ;Regular;00:00:00;
847;847;TIRIO - TITRI via UFSC;Regular;00:00:00;
848;848;Titri/Tirio;Regular;00:00:00;
849;849;Abra∆o/ ufsc;Regular;00:00:00;
850;850;TILAG - Rio Vermelho via Cidade da Barra;Regular;00:00:00;
940;940;Canasvieiras/Santo Antìnio via Jurerà;Regular;00:00:00;
941;941;Canasvieiras/Santo Antìnio via Ratones;Regular;00:00:00;
942;942;CacupÇ;Regular;00:00:00;00:00:00
943;943;Saco dos Lim‰es/Trindade;Regular;00:00:00;
944;944;S Lim‰es/Trindade  Via Madre Bevenuta;Regular;00:00:00;
945;945;Jardim Atlantico/ ufsc;Regular;00:00:00;
946;946;Jardim Atlantico/ ufsc;Regular;00:00:00;
947;947;Capoeiras/ ufsc;Regular;00:00:00;
948;948;Capoeiras/ufsc;Regular;00:00:00;
949;949;Abra∆o/ ufsc;Regular;00:00:00;
D163;D-163;C¢rrego Grande Direto via Poá∆o;Regular;00:00:00;
D168;D-168;Monte Verde;Regular;00:00:00;
D174;D-174;Saco Grande via Jo∆o Paulo;Regular;00:00:00;
D260;D-260;Cachoeira do Bom Jesus;Regular;00:00:00;
D264;D-264;Ingleses;Regular;00:00:00;
D265;D-265;Ponta das Canas;Regular;00:00:00;
D266;D-266;Praia Brava Direto;Regular;00:00:00;
D267;D-267;Rio  Vermelho;Regular;00:00:00;
D271;D-271;Daniela Via Jurerà;Regular;00:00:00;
D360;D-360;Barra da Lagoa;Regular;00:00:00;
D360V;DV-360;Barra da Lagoa  Via Mauro Ramos;Regular;00:00:00;
D365;D-365;Sambaqui Direto;Regular;00:00:00;
D563;D-563;Costa de Dentro - Direta;Regular;00:00:00;
D565;D-565;Ribeir∆o da Ilha;Regular;00:00:00;
D766;D-766;Morro do 25 Via Morro da Nova Trento;Regular;00:00:00;
D846;D-846;CacupÇ Direta;Regular;00:00:00;
ED4120;4120;Executivo Pantano do Sul;Executivo;00:00:00;
M250V;V-250;Forte/Canasvieiras;Regular;00:00:00;
O847;847;Tirio/Titri;Regular;00:00:00;00:00:00
